,time,Average speed (km/h),Distance travelled (km),Engine RPM (rpm),Fuel used (L),Vehicle speed (km/h)
0,13:00,32.92981850103743,8.211220244622043,4644.950882578664,2.960936981340938,47.609756097560975
3,13:01,32.92981850103743,8.211220244622043,1885.0,0.0028946550748377,47.609756097560975
67,13:02,32.92981850103743,8.211220244622043,4882.0,0.0796493362032851,47.609756097560975
167,13:03,32.92981850103743,8.211220244622043,4640.0,0.295463896957397,47.609756097560975
267,13:04,32.92981850103743,8.211220244622043,1770.0,0.535286465464584,47.609756097560975
369,13:05,32.92981850103743,8.211220244622043,1764.0,0.628502768235603,47.609756097560975
472,13:06,23.7958416715901,2.1086435545,4644.950882578664,2.960936981340938,61.0
541,13:07,32.92981850103743,8.211220244622043,4644.950882578664,2.960936981340938,47.609756097560975
578,13:08,32.92981850103743,8.211220244622043,3900.0,1.05367895589024,47.609756097560975
682,13:09,32.92981850103743,8.211220244622043,6894.0,1.47728205747669,47.609756097560975
783,13:10,34.2227491397343,4.78049549227778,4644.950882578664,2.960936981340938,76.0
884,13:11,32.92981850103743,8.211220244622043,6340.0,2.10066897506369,47.609756097560975
983,13:12,35.9933126495849,6.22675003666666,4644.950882578664,2.960936981340938,67.0
1084,13:13,32.92981850103743,8.211220244622043,6527.0,2.67781684637403,47.609756097560975
1186,13:14,32.92981850103743,8.211220244622043,6981.0,2.94862547559538,47.609756097560975
1288,13:15,32.92981850103743,8.211220244622043,1598.0,3.01145351348339,47.609756097560975
1390,13:16,32.92981850103743,8.211220244622043,6159.0,3.28059551866382,47.609756097560975
1493,13:17,39.2397067122398,10.0589075537222,4644.950882578664,2.960936981340938,18.0
1593,13:18,37.9615000762681,10.3634384278056,4644.950882578664,2.960936981340938,60.0
1696,13:19,32.92981850103743,8.211220244622043,7104.0,4.06043572243571,47.609756097560975
1796,13:20,32.92981850103743,8.211220244622043,1796.0,4.21598317569012,47.609756097560975
1898,13:21,32.92981850103743,8.211220244622043,4068.0,4.46180310387355,47.609756097560975
2002,13:22,32.92981850103743,8.211220244622043,5514.0,4.57036243301075,47.609756097560975
2104,13:23,32.92981850103743,8.211220244622043,7140.0,4.74012280700364,47.609756097560975
2208,13:24,32.92981850103743,8.211220244622043,6529.0,5.0907173280621,47.609756097560975
2310,13:25,32.92981850103743,8.211220244622043,1637.0,5.1461080523892,47.609756097560975
2412,13:26,32.92981850103743,8.211220244622043,1888.0,5.25238146997321,47.609756097560975
2514,13:27,32.92981850103743,8.211220244622043,5973.0,5.364296642396,47.609756097560975
