,time,Average speed (km/h),Distance travelled (km),Engine RPM (rpm),Fuel used (L),Vehicle speed (km/h)
0,20:29,30.59297026489268,5.324950406388861,4338.261336515513,1.6199059081828457,45.87372013651877
3,20:31,30.59297026489268,5.324950406388861,2107.0,0.0030148640474627,45.87372013651877
91,20:32,30.59297026489268,5.324950406388861,6956.0,0.228584591266755,45.87372013651877
191,20:33,30.59297026489268,5.324950406388861,1696.0,0.524519363416736,45.87372013651877
294,20:34,25.0175676025846,1.85024874772222,4338.261336515513,1.6199059081828457,75.0
395,20:35,30.59297026489268,5.324950406388861,6330.0,0.927225767480479,45.87372013651877
495,20:36,30.59297026489268,5.324950406388861,7117.0,1.18933657620355,45.87372013651877
595,20:37,30.59297026489268,5.324950406388861,4536.0,1.35085083664673,45.87372013651877
694,20:38,36.2966903025938,5.10331499430556,4338.261336515513,1.6199059081828457,44.6
795,20:39,30.59297026489268,5.324950406388861,1710.0,1.5898024212387,45.87372013651877
897,20:40,30.59297026489268,5.324950406388861,5668.0,1.83301079512026,45.87372013651877
1000,20:41,34.197383767265,6.51768304272223,4338.261336515513,1.6199059081828457,66.0
1100,20:42,34.1611987578133,7.07887791780556,4338.261336515513,1.6199059081828457,65.8
1199,20:43,30.59297026489268,5.324950406388861,4308.0,2.2964263156139,45.87372013651877
1299,20:44,30.59297026489268,5.324950406388861,4710.0,2.37142696583446,45.87372013651877
1401,20:45,30.59297026489268,5.324950406388861,1737.0,2.4281513086508,45.87372013651877
1501,20:46,30.59297026489268,5.324950406388861,5982.0,2.64810494393721,45.87372013651877
1601,20:47,30.59297026489268,5.324950406388861,3810.0,2.76942842164847,45.87372013651877
