,time,Average speed (km/h),Distance travelled (km),Engine RPM (rpm),Fuel used (L),Vehicle speed (km/h)
0,10:40,28.44213539150754,8.063946992843878,4882.53876478318,3.2866528792715712,44.22365245374095
31,10:41,28.44213539150754,8.063946992843878,4845.0,0.0755642876238628,44.22365245374095
135,10:42,28.44213539150754,8.063946992843878,1592.0,0.309041040909149,44.22365245374095
239,10:43,28.44213539150754,8.063946992843878,6691.0,0.4098762880944,44.22365245374095
348,10:44,12.3376818091958,0.698052860805556,4882.53876478318,3.2866528792715712,13.4
453,10:45,28.44213539150754,8.063946992843878,1608.0,0.660562942970547,44.22365245374095
559,10:46,28.44213539150754,8.063946992843878,7278.0,1.01049906190093,44.22365245374095
663,10:47,28.44213539150754,8.063946992843878,4237.0,1.20232806839282,44.22365245374095
769,10:48,28.44213539150754,8.063946992843878,1793.0,1.27329089386082,44.22365245374095
879,10:49,28.44213539150754,8.063946992843878,7172.0,1.6150764411124,44.22365245374095
986,10:50,25.252288673302,3.95387555091667,4882.53876478318,3.2866528792715712,9.0
1093,10:51,28.44213539150754,8.063946992843878,6410.0,2.07161200547772,44.22365245374095
1197,10:52,28.44213539150754,8.063946992843878,1758.0,2.1504614312259,44.22365245374095
1303,10:53,28.44213539150754,8.063946992843878,5747.0,2.2948957313559,44.22365245374095
1413,10:54,28.44213539150754,8.063946992843878,6588.0,2.54181963847882,44.22365245374095
1519,10:55,28.44213539150754,8.063946992843878,3934.0,2.73243229217071,44.22365245374095
1625,10:56,28.44213539150754,8.063946992843878,6755.0,3.03554045469896,44.22365245374095
1730,10:57,31.634771926561,8.64336435177777,4882.53876478318,3.2866528792715712,57.0
1835,10:58,28.44213539150754,8.063946992843878,5451.0,4.0624844161552,44.22365245374095
1939,10:59,28.44213539150754,8.063946992843878,7494.0,4.58987804335635,44.22365245374095
2043,11:00,28.44213539150754,8.063946992843878,7532.0,4.89513878467663,44.22365245374095
2147,11:01,28.44213539150754,8.063946992843878,7947.0,5.18972525645421,44.22365245374095
2249,11:02,28.44213539150754,8.063946992843878,6907.0,5.37155026520614,44.22365245374095
2357,11:03,28.44213539150754,8.063946992843878,5296.0,5.56917348048632,44.22365245374095
2429,11:12,28.44213539150754,8.063946992843878,1135.0,3.2376127231954968,44.22365245374095
2449,11:13,28.44213539150754,8.063946992843878,3930.0,5.71031381692524,44.22365245374095
2555,11:14,28.44213539150754,8.063946992843878,7009.0,6.00158142217572,44.22365245374095
2659,11:15,28.44213539150754,8.063946992843878,4739.0,6.27411375718472,44.22365245374095
2741,12:01,28.44213539150754,8.063946992843878,4334.0,3.5874997795715573,44.22365245374095
2825,12:02,28.44213539150754,8.063946992843878,6782.0,6.56631670816399,44.22365245374095
2929,12:03,28.44213539150754,8.063946992843878,2988.0,6.77007481780154,44.22365245374095
3035,12:04,28.44213539150754,8.063946992843878,1639.0,6.85061474988693,44.22365245374095
3043,23:06,28.44213539150754,8.063946992843878,4882.53876478318,3.2866528792715712,44.22365245374095
