,time,Average speed (km/h),Distance travelled (km),Engine RPM (rpm),Fuel used (L),Vehicle speed (km/h)
0,08:58,27.215457762629764,7.130244282913604,4874.156508653123,2.8480123859928925,45.60710944808232
41,08:59,27.215457762629764,7.130244282913604,4856.0,0.108001243517236,45.60710944808232
145,09:00,27.215457762629764,7.130244282913604,1855.0,0.292215539799292,45.60710944808232
248,09:01,9.90630471596231,0.479060934972222,4874.156508653123,2.8480123859928925,23.0
353,09:02,27.215457762629764,7.130244282913604,2059.0,0.564758634061978,45.60710944808232
455,09:03,27.215457762629764,7.130244282913604,6329.0,0.863648756898101,45.60710944808232
555,09:04,27.215457762629764,7.130244282913604,1589.0,0.994110914440286,45.60710944808232
658,09:05,20.6448718529439,2.37552014194444,4874.156508653123,2.8480123859928925,12.0
761,09:06,27.215457762629764,7.130244282913604,5609.0,1.37575634124076,45.60710944808232
865,09:07,27.215457762629764,7.130244282913604,4197.0,1.57465783395849,45.60710944808232
971,09:08,27.215457762629764,7.130244282913604,6536.0,1.77692962438801,45.60710944808232
1077,09:09,27.215457762629764,7.130244282913604,1769.0,2.01755796856936,45.60710944808232
1177,09:10,27.215457762629764,7.130244282913604,1565.0,2.08024489316325,45.60710944808232
1279,09:11,27.215457762629764,7.130244282913604,1845.0,2.2374433166688,45.60710944808232
1383,09:12,27.215457762629764,7.130244282913604,6138.0,2.49404800318034,45.60710944808232
1485,09:13,27.215457762629764,7.130244282913604,6400.0,2.7151957930201,45.60710944808232
1587,09:14,27.215457762629764,7.130244282913604,7485.0,3.171835028592,45.60710944808232
1689,09:15,27.215457762629764,7.130244282913604,7474.0,3.63778752302659,45.60710944808232
1790,09:16,34.8861302340185,10.4135287996111,4874.156508653123,2.8480123859928925,76.0
1893,09:17,27.215457762629764,7.130244282913604,4922.0,4.56517910873618,45.60710944808232
1995,09:18,27.215457762629764,7.130244282913604,7346.0,4.85472602607644,45.60710944808232
2097,09:19,27.215457762629764,7.130244282913604,5888.0,4.95746414038361,45.60710944808232
2199,09:20,27.215457762629764,7.130244282913604,1712.0,5.17200851945025,45.60710944808232
2303,09:21,27.215457762629764,7.130244282913604,6162.0,5.41535881022858,45.60710944808232
2403,09:22,27.215457762629764,7.130244282913604,4807.0,5.58629729603711,45.60710944808232
2504,09:23,36.4789326781311,15.1410155815833,4874.156508653123,2.8480123859928925,16.0
2605,09:24,27.215457762629764,7.130244282913604,3375.0,6.04251342623978,45.60710944808232
