,time,Average speed (km/h),Distance travelled (km),Engine RPM (rpm),Fuel used (L),Vehicle speed (km/h)
0,09:43,28.620584885364863,7.112236767877267,4804.10391566265,2.787543975137721,48.417582417582416
46,09:44,14.2960407720622,0.142074879583333,4804.10391566265,2.787543975137721,26.0
149,09:45,28.620584885364863,7.112236767877267,6832.0,0.225464600346734,48.417582417582416
255,09:46,28.620584885364863,7.112236767877267,6591.0,0.47552366071892,48.417582417582416
357,09:47,28.620584885364863,7.112236767877267,6216.0,0.677452303891184,48.417582417582416
460,09:48,28.8143500430509,2.20640899691667,4804.10391566265,2.787543975137721,61.0
563,09:49,28.620584885364863,7.112236767877267,1782.0,1.04455073463422,48.417582417582416
667,09:50,28.620584885364863,7.112236767877267,6059.0,1.14054549036258,48.417582417582416
749,09:51,28.620584885364863,7.112236767877267,4804.10391566265,2.787543975137721,48.417582417582416
824,09:52,28.620584885364863,7.112236767877267,1718.0,1.37952472315144,48.417582417582416
926,09:53,28.620584885364863,7.112236767877267,6567.0,1.56275130203815,48.417582417582416
1028,09:54,28.620584885364863,7.112236767877267,6163.0,1.87562133379693,48.417582417582416
1133,09:55,25.5625933580997,4.72353169438889,4804.10391566265,2.787543975137721,55.4
1236,09:56,28.620584885364863,7.112236767877267,4401.0,2.2085089791886,48.417582417582416
1342,09:57,28.620584885364863,7.112236767877267,4558.0,2.44233463990389,48.417582417582416
1446,09:58,28.620584885364863,7.112236767877267,5034.0,2.61654193109184,48.417582417582416
1547,09:59,30.5235710171259,7.67361480422223,4804.10391566265,2.787543975137721,67.0
1649,10:00,32.6654566167133,8.75778853902778,4804.10391566265,2.787543975137721,68.0
1750,10:01,28.620584885364863,7.112236767877267,8476.0,3.78937407562745,48.417582417582416
1849,10:02,37.133598460029,11.1921919873611,4804.10391566265,2.787543975137721,68.0
1950,10:03,28.620584885364863,7.112236767877267,1741.0,4.62018078707805,48.417582417582416
2052,10:04,28.620584885364863,7.112236767877267,7349.0,4.75650002236574,48.417582417582416
2154,10:05,28.620584885364863,7.112236767877267,6698.0,5.0469299038427,48.417582417582416
2255,10:06,37.7112339343217,13.8809592615,4804.10391566265,2.787543975137721,32.0
2356,10:07,28.620584885364863,7.112236767877267,3763.0,5.29273579892253,48.417582417582416
2456,10:08,28.620584885364863,7.112236767877267,6755.0,5.59389137127242,48.417582417582416
2558,10:09,28.620584885364863,7.112236767877267,6488.0,5.86953283900021,48.417582417582416
